Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,..,57.88,57.96,58.03,58.12,58.12,58.19,58.23,58.23,58.26,58.27,58.32,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.34,58.33,58.32,58.32,58.32,58.31,58.31,58.16,57.97,57.90,57.89,57.95,58.06,57.90,57.95,57.95,57.94,58.08,58.15,58.13,58.12,58.13,58.13,58.13,58.13,58.13,58.13,58.12,58.12,58.12,58.12,58.12,58.28,58.28,58.74,58.74,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,..,44.96,44.96,45.00,44.89,45.15,45.26,45.40,45.26,45.07,44.89,43.80,42.85,41.82,40.95,39.42,39.23,40.47,40.66,40.77,40.80,40.73,40.66,40.51,40.62,40.58,40.55,40.55,40.77,40.51,40.91,41.13,41.13,41.09,41.09,41.13,41.28,41.42,41.57,41.79,41.75,41.57,41.61,40.91,40.95,39.31,40.88,40.84,43.10,43.84,43.84,43.83,43.84,43.33,42.86,42.86,43.13,42.86,42.85,42.85,42.54,41.47,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,..,19.09,18.85,18.69,18.54,18.54,18.54,18.58,18.56,18.56,18.56,19.08,19.06,18.60,18.61,18.37,18.48,18.40,18.41,18.40,18.40,16.45,16.42,16.49,16.63,16.40,16.24,16.28,16.30,16.27,16.24,16.22,16.32,16.32,16.64,16.65,16.64,16.66,16.72,16.68,16.80,16.84,16.73,16.75,17.28,17.30,17.29,17.32,17.34,17.37,17.37,17.38,17.38,17.40,17.40,17.41,17.37,17.36,17.36,17.35,17.35,17.35,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,..,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.82,9.99,10.16,10.33,10.50,10.67,10.84,11.01,11.18,11.35,11.50,11.65,11.80,11.95,12.10,12.25,12.40,12.55,12.70,12.85,13.00,13.15,13.30,13.45,13.60,13.75,13.90,14.05,14.20,14.35,14.50,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,..,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,55.32,53.19,53.19,51.06,51.06,51.06,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.94,48.40,48.62,48.64,48.53,46.38,46.34,44.19,44.17,44.19,42.06,42.06,39.91,40.02,40.00,40.02,40.04,40.04,40.07,40.00,39.95,39.91,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,..,36.24,36.24,36.24,36.25,36.25,36.25,36.26,36.26,36.28,36.26,36.24,36.22,36.21,36.19,36.17,35.99,35.97,35.95,35.93,35.91,35.88,35.86,35.84,35.81,35.80,35.73,35.71,35.70,35.68,35.66,35.68,35.70,35.70,35.70,35.69,35.65,35.65,35.70,35.75,35.71,35.63,35.64,35.69,35.54,35.44,35.40,35.49,35.45,35.80,35.97,36.35,36.34,36.49,36.64,36.73,36.76,36.71,36.73,36.80,36.81,36.81,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,..,22.73,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,22.73,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,20.45,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,..,50.36,49.85,49.28,48.71,48.15,47.85,47.39,47.22,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.55,46.58,46.61,46.65,46.68,46.72,46.75,46.79,46.82,46.86,46.89,46.92,46.96,46.99,47.03,47.17,47.32,47.47,47.55,47.49,46.42,45.43,46.14,45.79,45.58,44.92,44.28,44.12,43.48,42.99,42.37,42.59,43.03,43.10,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.10,41.48,42.15,43.70,45.87,46.79,46.65,46.47,46.47,46.65,48.86,50.72,52.86,56.38,61.69,61.53,61.43,61.34,60.94,59.65,59.11,59.11,59.03,58.89,58.90,58.87,58.91,58.90,58.87,58.83,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,..,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,..
