Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Arable land (% of land area),AG.LND.ARBL.ZS,Afghanistan,AFG,..,11.72899131,11.80565138,11.88231145,11.95897153,11.95897153,12.01263358,12.02643239,12.02643239,12.05096362,12.06629563,12.11229168,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,12.12762369,11.99576836,11.81025099,11.73359091,11.7243917,11.78265336,11.89304386,11.73359091,11.77958696,11.77958696,11.77192095,11.91604189,11.98350275,11.96663754,11.94977232,11.94977232,11.94977232,11.94823912,11.94823912,11.94517272,11.94363951,11.93597351,11.91450869,11.90530948,11.85011422,11.80411818,11.94977232,11.94057311,12.00343437,12.00343437,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Albania,ALB,..,15.76642336,15.91240876,16.05839416,16.16788321,16.78832117,17.33576642,17.81021898,18.24817518,18.61313869,19.01459854,19.34306569,19.7080292,20,20.32846715,20.54744526,20.98540146,21.16788321,21.27737226,21.27737226,21.35036496,21.45985401,21.49635036,21.49635036,21.49635036,21.49635036,21.49635036,21.53284672,21.53284672,21.24087591,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.33576642,22.31189781,22.26277372,21.88321168,21.89416058,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Algeria,DZA,..,2.717341104,2.645124993,2.603138882,2.574588326,2.604398465,2.611955965,2.645544854,2.621192909,2.616994298,2.623292215,2.678713881,2.733295826,2.734135548,2.747571103,2.873949298,2.977654992,2.898721103,2.89368277,2.874369159,2.886545131,2.890743742,2.889064298,2.767724437,2.903339575,2.90124027,2.925172353,2.967998186,2.981433742,2.993189853,2.97303652,3.048191658,3.174989713,3.162813741,3.139301519,3.156935686,3.157775408,3.211937491,3.216555963,3.221594297,3.216975824,3.183806797,3.168691797,3.150511811,3.146019297,3.153576797,3.136362491,3.13594263,3.144339852,3.146019297,3.149798047,3.149798047,3.151687422,3.147362852,3.136110575,3.133044273,3.108734325,3.136700044,3.149252417,3.161804747,3.161804747,3.161804747,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,American Samoa,ASM,..,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.25,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.75,3.8,3.85,3.9,3.95,4,4.05,4.1,4.15,4.2,4.25,4.3,4.35,4.4,4.45,4.5,4.55,4.6,4.65,4.7,4.75,4.8,4.85,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Andorra,AND,..,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510638,1.829787234,1.723404255,1.70212766,1.659574468,1.638297872,1.617021277,1.638297872,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.754255319,1.683191489,1.635957447,1.590638298,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Angola,AGO,..,2.141653966,2.165717494,2.181759846,2.205823374,2.221865726,2.245929253,2.269992781,2.294056309,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.36889388,3.769952675,3.769952675,3.886259726,4.018609128,4.110852651,4.288922756,4.292933344,4.296943932,4.301756638,4.305767225,4.309777813,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Antigua and Barbuda,ATG,..,18.18181818,15.90909091,15.90909091,15.90909091,13.63636364,13.63636364,13.63636364,13.63636364,13.63636364,13.63636364,13.63636364,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,11.36363636,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Argentina,ARG,..,6.795435362,7.008466432,7.1619365,7.308098469,7.476550139,7.895669586,8.163511395,8.71527283,8.76131385,8.80735487,8.853395891,8.899436911,8.945477931,8.991518952,9.037559972,9.083600992,9.129642013,9.175683033,9.221724054,9.267765074,9.313806094,9.359847115,9.405888135,9.451929155,9.497970176,9.544011196,9.590052216,9.634631617,9.672268324,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.89937114,11.6178303,12.34761701,13.00202069,13.51446455,13.02167947,12.60307159,13.88651985,14.11431328,14.47840274,14.39377496,14.32960986,14.74010575,14.67557524,14.7572067,14.69247876,14.91172171,15.35020762,15.42328861,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797331,15.87987355,15.82016157,15.78503688,15.75342466,15.77801194,15.74991219,15.74288725,15.71829996,15.69020021,15.6796628,15.66561293,15.65156305,15.62346329,15.59536354,15.57499122,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,Aruba,ABW,..,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,..,..
