Date,State,Region,Confirmed,Deaths,Recovered,Continents
4/29/2020,,Afghanistan,1939,60,252,Asia
4/29/2020,,Albania,766,30,455,Europe
4/29/2020,,Algeria,3848,444,1702,Africa
4/29/2020,,Andorra,743,42,423,Europe
4/29/2020,,Angola,27,2,7,Africa
4/29/2020,,Antigua and Barbuda,24,3,11,Americas
4/29/2020,,Argentina,4285,214,1192,Americas
4/29/2020,,Armenia,1932,30,900,Asia
4/29/2020,,Austria,15402,580,12779,Europe
4/29/2020,,Azerbaijan,1766,23,1267,Asia
4/29/2020,,Bahamas,80,11,23,Americas
4/29/2020,,Bahrain,2921,8,1455,Asia
4/29/2020,,Bangladesh,7103,163,150,Asia
4/29/2020,,Barbados,80,7,39,Americas
4/29/2020,,Belarus,13181,84,2072,Europe
4/29/2020,,Belgium,47859,7501,11283,Europe
4/29/2020,,Belize,18,2,9,Americas
4/29/2020,,Benin,64,1,33,Africa
4/29/2020,,Bhutan,7,0,5,Asia
4/29/2020,,Bolivia,1110,59,117,Americas
4/29/2020,,Bosnia and Herzegovina,1677,65,710,Europe
4/29/2020,,Botswana,23,1,5,Africa
4/29/2020,,Brazil,79685,5513,34132,Americas
4/29/2020,,Brunei Darussalam,138,1,124,Asia
4/29/2020,,Bulgaria,1447,64,243,Europe
4/29/2020,,Burkina Faso,641,43,498,Africa
4/29/2020,,Burma,150,6,27,Asia
4/29/2020,,Burundi,11,1,4,Africa
4/29/2020,,Cabo Verde,114,1,2,Africa
4/29/2020,,Cambodia,122,0,119,Asia
4/29/2020,,Cameroon,1832,61,934,Africa
4/29/2020,,Central African Republic,50,0,10,Africa
4/29/2020,,Chad,52,2,19,Africa
4/29/2020,,Chile,14885,216,8057,Americas
4/29/2020,,Colombia,6207,278,1411,Americas
4/29/2020,,Congo (Brazzaville),207,8,19,Africa
4/29/2020,,Congo (Kinshasa),491,30,59,Africa
4/29/2020,,Costa Rica,713,6,323,Americas
4/29/2020,,Croatia,2062,67,1288,Europe
4/29/2020,,Cuba,1467,58,617,Americas
4/29/2020,,Cyprus,843,15,148,Asia
4/29/2020,,Czech Republic,7579,227,3108,Europe
4/29/2020,,Denmark,9008,443,6366,Europe
4/29/2020,,Diamond Princess,712,13,645,cruiser
4/29/2020,,Djibouti,1077,2,599,Africa
4/29/2020,,Dominica,16,0,13,Americas
4/29/2020,,Dominican Republic,6652,293,1228,Americas
4/29/2020,,Ecuador,24675,883,1557,Americas
4/29/2020,,Egypt,5268,380,1335,Africa
4/29/2020,,El Salvador,377,9,106,Americas
4/29/2020,,Equatorial Guinea,315,1,9,Africa
4/29/2020,,Eritrea,39,0,19,Africa
4/29/2020,,Estonia,1666,50,236,Europe
4/29/2020,,Eswatini,91,1,10,Africa
4/29/2020,,Ethiopia,130,3,58,Africa
4/29/2020,,Fiji,18,0,12,Oceania
4/29/2020,,Finland,4906,206,2800,Europe
4/29/2020,,France,165093,24087,48228,Europe
4/29/2020,,Gabon,276,3,67,Africa
4/29/2020,,Gambia,10,1,8,Africa
4/29/2020,,Georgia,517,6,178,Asia
4/29/2020,,Germany,161539,6467,120400,Europe
4/29/2020,,Ghana,1671,16,188,Africa
4/29/2020,,Greece,2576,139,577,Europe
4/29/2020,,Grenada,20,0,13,Americas
4/29/2020,,Guatemala,557,16,62,Americas
4/29/2020,,Guinea,1351,7,313,Africa
4/29/2020,,Guinea-Bissau,205,1,19,Africa
4/29/2020,,Guyana,78,8,18,Americas
4/29/2020,,Haiti,76,6,8,Americas
4/29/2020,,Holy See,10,0,2,Europe
4/29/2020,,Honduras,738,66,73,Americas
4/29/2020,,Hungary,2727,300,536,Europe
4/29/2020,,Iceland,1797,10,1656,Europe
4/29/2020,,India,33062,1079,8437,Asia
4/29/2020,,Indonesia,9771,784,1391,Asia
4/29/2020,,Iran,93657,5957,73791,Asia
4/29/2020,,Iraq,2003,92,1346,Asia
4/29/2020,,Ireland,20253,1190,13386,Europe
4/29/2020,,Israel,15834,215,8233,Asia
4/29/2020,,Italy,203591,27682,71252,Europe
4/29/2020,,Ivory Coast,1238,14,557,Africa
4/29/2020,,Jamaica,396,7,29,Americas
4/29/2020,,Japan,13895,413,2368,Asia
4/29/2020,,Jordan,451,8,356,Asia
4/29/2020,,Kazakhstan,3138,25,819,Asia
4/29/2020,,Kenya,384,15,129,Africa
4/29/2020,,Kosovo,510,12,93,Europe
4/29/2020,,Kuwait,3740,24,1389,Asia
4/29/2020,,Kyrgyzstan,729,8,437,Asia
4/29/2020,,Laos,19,0,7,Asia
4/29/2020,,Latvia,849,15,348,Europe
4/29/2020,,Lebanon,721,24,150,Asia
4/29/2020,,Liberia,141,16,45,Africa
4/29/2020,,Libya,61,2,18,Africa
4/29/2020,,Liechtenstein,82,1,55,Europe
4/29/2020,,Lithuania,1375,45,563,Europe
4/29/2020,,Luxembourg,3769,89,3134,Europe
4/29/2020,,MS Zaandam,9,2,0,cruiser
4/29/2020,,Madagascar,128,0,90,Africa
4/29/2020,,Malawi,36,3,7,Africa
4/29/2020,,Malaysia,5945,100,4087,Asia
4/29/2020,,Maldives,278,1,17,Asia
4/29/2020,,Mali,482,25,129,Africa
4/29/2020,,Malta,463,4,339,Europe
4/29/2020,,Mauritania,8,1,6,Africa
4/29/2020,,Mauritius,332,10,306,Africa
4/29/2020,,Mexico,17799,1732,11423,Americas
4/29/2020,,Moldova,3771,111,1114,Europe
4/29/2020,,Monaco,95,4,58,Europe
4/29/2020,,Mongolia,38,0,10,Asia
4/29/2020,,Montenegro,322,7,203,Europe
4/29/2020,,Morocco,4321,168,928,Africa
4/29/2020,,Mozambique,76,0,12,Africa
4/29/2020,,Namibia,16,0,8,Africa
4/29/2020,,Nepal,57,0,16,Asia
4/29/2020,,Netherlands,38802,4711,0,Europe
4/29/2020,,New Zealand,1476,19,1241,Oceania
4/29/2020,,Nicaragua,13,3,7,Americas
4/29/2020,,Niger,713,32,435,Africa
4/29/2020,,Nigeria,1728,51,307,Africa
4/29/2020,,North Macedonia,1442,73,627,Europe
4/29/2020,,Norway,7710,207,32,Europe
4/29/2020,,Oman,2274,10,364,Asia
4/29/2020,,Pakistan,15525,343,3425,Asia
4/29/2020,,Panama,6378,178,527,Americas
4/29/2020,,Papua New Guinea,8,0,0,Oceania
4/29/2020,,Paraguay,239,9,102,Americas
4/29/2020,,Peru,33931,943,10037,Americas
4/29/2020,,Philippines,8212,558,1023,Asia
4/29/2020,,Poland,12640,624,3025,Europe
4/29/2020,,Portugal,24505,973,1470,Europe
4/29/2020,,Qatar,12564,10,1243,Asia
4/29/2020,,Romania,11978,693,3569,Europe
4/29/2020,,Russia,99399,972,10286,Europe
4/29/2020,,Rwanda,225,0,98,Africa
4/29/2020,,Saint Kitts and Nevis,15,0,4,Americas
4/29/2020,,Saint Lucia,17,0,15,Americas
4/29/2020,,Saint Vincent and the Grenadines,16,0,8,Americas
4/29/2020,,San Marino,563,41,69,Europe
4/29/2020,,Sao Tome and Principe,8,0,4,Africa
4/29/2020,,Saudi Arabia,21402,157,2953,Asia
4/29/2020,,Senegal,882,9,315,Africa
4/29/2020,,Serbia,6630,125,870,Europe
4/29/2020,,Seychelles,11,0,6,Africa
4/29/2020,,Sierra Leone,104,4,12,Africa
4/29/2020,,Singapore,15641,14,1188,Asia
4/29/2020,,Slovakia,1391,22,484,Europe
4/29/2020,,Slovenia,1418,89,230,Europe
4/29/2020,,Somalia,582,28,20,Africa
4/29/2020,,South Africa,5350,103,2073,Africa
4/29/2020,,South Korea,10765,247,9059,Asia
4/29/2020,,South Sudan,34,0,0,Africa
4/29/2020,,Spain,236899,24275,132929,Europe
4/29/2020,,Sri Lanka,649,7,136,Asia
4/29/2020,,Sudan,375,28,32,Africa
4/29/2020,,Suriname,10,1,8,Americas
4/29/2020,,Sweden,20302,2462,1005,Europe
4/29/2020,,Switzerland,29407,1716,22600,Europe
4/29/2020,,Syria,43,3,21,Asia
4/29/2020,,Taiwan,429,6,311,Asia
4/29/2020,,Tanzania,480,16,167,Africa
4/29/2020,,Thailand,2947,54,2665,Asia
4/29/2020,,Timor-Leste,24,0,6,Asia
4/29/2020,,Togo,109,7,64,Africa
4/29/2020,,Trinidad and Tobago,116,8,71,Americas
4/29/2020,,Tunisia,980,40,294,Africa
4/29/2020,,Turkey,117589,3081,44040,Asia
4/29/2020,,United Kingdom,165221,26097,0,Europe
4/29/2020,,Uganda,81,0,52,Africa
4/29/2020,,Ukraine,9866,250,1103,Europe
4/29/2020,,United Arab Emirates,11929,98,2329,Asia
4/29/2020,,Uruguay,630,15,412,Americas
4/29/2020,,Uzbekistan,2002,9,1096,Asia
4/29/2020,,Venezuela,331,10,142,Americas
4/29/2020,,Vietnam,270,0,222,Asia
4/29/2020,,West Bank and Gaza,344,2,71,Asia
4/29/2020,,Western Sahara,6,0,5,Africa
4/29/2020,,Yemen,6,0,1,Asia
4/29/2020,,Zambia,97,3,54,Africa
4/29/2020,,Zimbabwe,32,4,5,Africa
4/29/2020,Alabama,United States,6912,256,0,Americas
4/29/2020,Alaska,United States,355,9,0,Americas
4/29/2020,Alberta,Canada,5165,87,0,Americas
4/29/2020,Anguilla,United Kingdom,3,0,3,Europe
4/29/2020,Anhui,China,991,6,985,Asia
4/29/2020,Arizona,United States,7209,308,0,Americas
4/29/2020,Arkansas,United States,3193,57,0,Americas
4/29/2020,Aruba,Netherlands,100,2,73,Europe
4/29/2020,Australian Capital Territory,Australia,106,3,101,Oceania
4/29/2020,Beijing,China,593,9,542,Asia
4/29/2020,Bermuda,United Kingdom,111,6,48,Europe
4/29/2020,"Bonaire, Sint Eustatius and Saba",Netherlands,5,0,0,Europe
4/29/2020,British Columbia,Canada,2087,109,0,Americas
4/29/2020,British Virgin Islands,United Kingdom,6,1,3,Europe
4/29/2020,California,United States,48747,1946,0,Americas
4/29/2020,Cayman Islands,United Kingdom,73,1,10,Europe
4/29/2020,Channel Islands,United Kingdom,537,38,386,Europe
4/29/2020,Chongqing,China,579,6,573,Asia
4/29/2020,Colorado,United States,14758,766,0,Americas
4/29/2020,Connecticut,United States,26767,2169,0,Americas
4/29/2020,Curacao,Netherlands,16,1,13,Europe
4/29/2020,Delaware,United States,4655,144,0,Americas
4/29/2020,Diamond Princess cruise ship,Canada,0,1,0,Americas
4/29/2020,Diamond Princess cruise ship,United States,49,0,0,Americas
4/29/2020,District of Columbia,United States,4106,205,0,Americas
4/29/2020,Falkland Islands (Malvinas),United Kingdom,13,0,11,Europe
4/29/2020,Faroe Islands,Denmark,187,0,181,Europe
4/29/2020,Florida,United States,33193,1218,0,Americas
4/29/2020,French Guiana,France,125,1,93,Europe
4/29/2020,French Polynesia,France,58,0,50,Europe
4/29/2020,Fujian,China,355,1,353,Asia
4/29/2020,Gansu,China,139,2,137,Asia
4/29/2020,Georgia,United States,25775,1101,0,Americas
4/29/2020,Gibraltar,United Kingdom,141,0,131,Europe
4/29/2020,Grand Princess,Canada,13,0,0,Americas
4/29/2020,Grand Princess,United States,103,3,0,Americas
4/29/2020,Greenland,Denmark,11,0,11,Europe
4/29/2020,Guadeloupe,France,149,12,82,Europe
4/29/2020,Guam,United States,141,5,0,Americas
4/29/2020,Guangdong,China,1588,8,1557,Asia
4/29/2020,Guangxi,China,254,2,252,Asia
4/29/2020,Guizhou,China,147,2,145,Asia
4/29/2020,Hainan,China,168,6,162,Asia
4/29/2020,Hawaii,United States,613,16,0,Americas
4/29/2020,Hebei,China,328,6,318,Asia
4/29/2020,Heilongjiang,China,939,13,587,Asia
4/29/2020,Henan,China,1276,22,1254,Asia
4/29/2020,Hong Kong,Hong Kong,1037,4,830,Asia
4/29/2020,Hubei,China,68128,4512,63616,Asia
4/29/2020,Hunan,China,1019,4,1015,Asia
4/29/2020,Idaho,United States,1952,60,0,Americas
4/29/2020,Illinois,United States,50358,2215,0,Americas
4/29/2020,Indiana,United States,17182,964,0,Americas
4/29/2020,Inner Mongolia,China,200,1,150,Asia
4/29/2020,Iowa,United States,6843,148,0,Americas
4/29/2020,Isle of Man,United Kingdom,313,21,258,Europe
4/29/2020,Jiangsu,China,653,0,648,Asia
4/29/2020,Jiangxi,China,937,1,936,Asia
4/29/2020,Jilin,China,111,1,99,Asia
4/29/2020,Kansas,United States,3839,134,0,Americas
4/29/2020,Kentucky,United States,4537,234,0,Americas
4/29/2020,Liaoning,China,146,2,143,Asia
4/29/2020,Louisiana,United States,27660,1845,0,Americas
4/29/2020,Macau,Macau,45,0,34,Asia
4/29/2020,Maine,United States,1056,52,0,Americas
4/29/2020,Manitoba,Canada,275,6,0,Americas
4/29/2020,Martinique,France,175,14,83,Europe
4/29/2020,Maryland,United States,20849,1078,0,Americas
4/29/2020,Massachusetts,United States,60265,3405,0,Americas
4/29/2020,Mayotte,France,460,4,235,Europe
4/29/2020,Michigan,United States,40399,3670,0,Americas
4/29/2020,Minnesota,United States,4644,319,0,Americas
4/29/2020,Mississippi,United States,6569,250,0,Americas
4/29/2020,Missouri,United States,7660,338,0,Americas
4/29/2020,Montana,United States,451,16,0,Americas
4/29/2020,Montserrat,United Kingdom,11,1,2,Europe
4/29/2020,Nebraska,United States,3851,56,0,Americas
4/29/2020,Nevada,United States,4934,230,0,Americas
4/29/2020,New Brunswick,Canada,118,0,0,Americas
4/29/2020,New Caledonia,France,18,0,17,Europe
