Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.C. Green,203,106,NaN,1960,1361,39044,4778,9686,3247,4447,125,509,4653,9177,3576,6553,10129,1469,1103,562,1508,2581,12928
A.J. Bramlett,196,88,NaN,1973,8,61,4,21,0,0,0,0,4,21,12,10,22,0,1,0,3,13,8
A.J. English,196,95,NaN,1963,151,3108,617,1418,259,333,9,65,608,1353,140,175,315,320,57,24,203,287,1502
A.J. Guyton,208,99,NaN,1976,80,1246,166,440,37,45,73,193,93,247,22,58,80,147,20,12,62,58,442
A.J. Hammons,198,99,NaN,1993,22,163,17,42,9,20,5,10,12,32,8,28,36,4,1,13,10,21,48
A.J. Price,213,124,NaN,1989,287,4253,600,1581,223,303,233,747,367,834,74,335,409,613,132,9,243,252,1656
A.J. Wynder,190,83,NaN,1947,6,39,3,12,6,8,0,1,3,11,1,2,3,8,1,0,4,1,12
Aaron Brooks,183,73,University of Oregon,1985,797,17088,2829,6893,1156,1371,1025,2805,1804,4088,323,1037,1360,2485,469,113,1272,1544,7839
Aaron Gordon,206,99,University of Arizona,1995,205,4958,760,1652,329,471,132,457,628,1195,316,765,1081,311,144,117,193,408,1981
Aaron Gray,213,122,University of Pittsburgh,1984,387,4517,509,1007,217,379,0,4,509,1003,518,889,1407,251,113,106,314,796,1235
Aaron Harrison,198,95,University of Kentucky,1994,26,110,5,23,6,14,3,12,2,11,4,14,18,5,6,0,4,12,19
Aaron McKie,196,94,Temple University,1972,957,22594,2554,5923,1087,1389,441,1275,2113,4648,580,2459,3039,2462,1090,199,1225,1882,6636
Aaron Miles,185,79,University of Kansas,1983,19,118,6,18,4,4,0,0,6,18,0,14,14,24,4,1,11,13,16
Aaron Swinson,196,104,Auburn University,1971,9,51,10,18,4,5,0,0,10,18,3,5,8,3,1,0,5,8,24
Aaron Williams,206,99,Xavier University,1971,838,13669,1777,3577,1063,1442,1,17,1776,3560,1159,2015,3174,525,320,597,742,2030,4618
Acie Earl,208,108,University of Iowa,1970,240,3012,428,1076,312,471,0,14,428,1062,225,388,613,81,78,154,205,412,1168
Acie Law,190,88,Texas A&M University,1985,265,3345,379,898,257,334,38,167,341,731,48,227,275,419,126,5,205,270,1053
Adam Harrington,196,90,Auburn University,1980,38,222,22,74,6,8,10,28,12,46,2,14,16,24,4,2,4,16,60
Adam Keefe,206,104,Stanford University,1970,617,10334,1120,2230,866,1213,1,14,1119,2216,999,1557,2556,427,307,173,545,1114,3107
Adam Morrison,203,92,Gonzaga University,1984,213,3989,547,1475,159,223,156,471,391,1004,100,322,422,263,49,16,204,350,1409
Adonal Foyle,208,113,Colgate University,1975,743,13122,1325,2777,356,713,0,2,1325,2775,1310,2177,3487,345,264,1201,600,1580,3006
Adonis Jordan,180,77,University of Kansas,1970,10,97,8,27,2,4,3,12,5,15,3,3,6,22,3,1,8,6,21
Adonis Thomas,201,90,University of Memphis,1993,12,74,12,28,2,2,2,10,10,18,0,6,6,6,0,0,2,12,28
Adreian Payne,208,107,Michigan State University,1991,134,2099,258,639,91,137,14,65,244,574,125,343,468,96,62,36,132,285,621
Adrian Branch,201,83,University of Maryland,1963,130,1429,331,727,163,219,9,39,322,688,114,139,253,96,83,17,125,193,834
Adrian Caldwell,203,120,Lamar University,1966,242,2172,204,430,83,187,0,5,204,425,238,425,663,45,72,49,154,357,491
Adrian Dantley*,196,94,University of Notre Dame,1956,482,15865,3565,6848,3237,3993,3,26,3562,6822,834,1262,2096,1214,334,62,1125,1155,10370
Adrian Griffin,196,98,Seton Hall University,1974,512,8304,815,1870,304,401,50,180,765,1690,535,1036,1571,680,453,61,352,906,1984
Al Harrington,206,104,NaN,1980,1132,33118,6055,13613,2606,3567,1275,3541,4780,10072,1745,4688,6433,1900,1011,292,2168,3565,15991
Al Horford,208,111,University of Florida,1986,646,21535,3923,7427,1199,1603,195,563,3728,6864,1472,4136,5608,1926,534,784,1031,1537,9240
Al Jefferson,208,131,NaN,1985,879,25815,6050,12136,1983,2797,8,63,6042,12073,2024,5523,7547,1317,612,1070,1190,2281,14091
Al Thornton,203,99,Florida State University,1983,442,11736,1893,4136,976,1307,93,323,1800,3813,564,1176,1740,505,265,199,590,1120,4855
Al Wood,198,87,University of North Carolina,1958,212,4951,991,2188,462,592,19,95,972,2093,218,399,617,384,160,82,261,441,2463
Al-Farouq Aminu,206,99,Wake Forest University,1990,520,12520,1398,3281,665,917,305,942,1093,2339,727,2221,2948,639,494,307,667,967,3766
Alaa Abdelnaby,208,108,Duke University,1968,385,5017,983,1940,333,472,0,6,983,1934,446,851,1297,125,111,107,389,777,2299
Alan Anderson,198,99,Michigan State University,1982,330,6793,843,2084,404,495,331,963,512,1121,151,563,714,371,182,31,290,602,2421
Alan Henderson,206,106,Indiana University,1972,652,13780,1976,4215,1137,1778,5,26,1971,4189,1426,1823,3249,397,364,297,717,1436,5094
Alan Ogg,218,108,University of Alabama at Birmingham,1967,86,686,80,165,28,48,0,2,80,163,51,92,143,17,13,61,33,138,188
